Title,Publisher,DateTime,Link
Utah backup QB Bryson Barnes opens Florida game with a 70-yard touchdown pass,Salt Lake Tribune,2023-09-01T04:41:15Z,https://news.google.com/articles/CBMiVmh0dHBzOi8vd3d3LnNsdHJpYi5jb20vc3BvcnRzL3V0YWgtdXRlcy8yMDIzLzA4LzMxL3V0ZXMtc3RhcnMtY2FtLXJpc2luZy1icmFudC1rdWl0aGUv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Florida vs. Utah score, takeaways: Short-handed No. 14 Utes get revenge as Gators look listless",CBS Sports,2023-09-01T04:59:39Z,https://news.google.com/articles/CBMikQFodHRwczovL3d3dy5jYnNzcG9ydHMuY29tL2NvbGxlZ2UtZm9vdGJhbGwvbmV3cy9mbG9yaWRhLXZzLXV0YWgtc2NvcmUtdGFrZWF3YXlzLXNob3J0LWhhbmRlZC1uby0xNC11dGVzLWdldC1yZXZlbmdlLWFzLWdhdG9ycy1sb29rLWxpc3RsZXNzL2xpdmUv0gGVAWh0dHBzOi8vd3d3LmNic3Nwb3J0cy5jb20vY29sbGVnZS1mb290YmFsbC9uZXdzL2Zsb3JpZGEtdnMtdXRhaC1zY29yZS10YWtlYXdheXMtc2hvcnQtaGFuZGVkLW5vLTE0LXV0ZXMtZ2V0LXJldmVuZ2UtYXMtZ2F0b3JzLWxvb2stbGlzdGxlc3MvbGl2ZS9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
"No. 14 Utah 24, Florida 11",CT Insider,2023-09-01T03:26:03Z,https://news.google.com/articles/CBMiTmh0dHBzOi8vd3d3LmN0aW5zaWRlci5jb20vc3BvcnRzL2FydGljbGUvbm8tMTQtdXRhaC0yNC1mbG9yaWRhLTExLTE4MzQxOTEzLnBocNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Olivia Dunne Puts On A Flexibility Clinic, Florida Gators Cheerleaders Invade Utah & The Nebraska Volleyball Team Has My Attention",Outkick,2023-08-31T19:55:00Z,https://news.google.com/articles/CBMimAFodHRwczovL3d3dy5vdXRraWNrLmNvbS9vbGl2aWEtZHVubmUtcHV0cy1vbi1hLWZsZXhpYmlsaXR5LWNsaW5pYy1mbG9yaWRhLWdhdG9ycy1jaGVlcmxlYWRlcnMtaW52YWRlLXV0YWgtdGhlLW5lYnJhc2thLXZvbGxleWJhbGwtdGVhbS1oYXMtbXktYXR0ZW50aW9uL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Nebraska at Minnesota | Extended Highlights | Big Ten Football | Aug. 31 2023,Big Ten Network,2023-09-01T04:02:01Z,https://news.google.com/articles/CCAiC1Z6Zno1ZjJUR2ZNmAEB?hl=en-US&gl=US&ceid=US%3Aen
"Nebraksa vs. Minnesota live stream, watch online, TV channel, prediction, pick, spread, football game odds",CBS Sports,2023-08-31T23:45:00Z,https://news.google.com/articles/CBMilAFodHRwczovL3d3dy5jYnNzcG9ydHMuY29tL2NvbGxlZ2UtZm9vdGJhbGwvbmV3cy9uZWJyYWtzYS12cy1taW5uZXNvdGEtbGl2ZS1zdHJlYW0td2F0Y2gtb25saW5lLXR2LWNoYW5uZWwtcHJlZGljdGlvbi1waWNrLXNwcmVhZC1mb290YmFsbC1nYW1lLW9kZHMv0gGYAWh0dHBzOi8vd3d3LmNic3Nwb3J0cy5jb20vY29sbGVnZS1mb290YmFsbC9uZXdzL25lYnJha3NhLXZzLW1pbm5lc290YS1saXZlLXN0cmVhbS13YXRjaC1vbmxpbmUtdHYtY2hhbm5lbC1wcmVkaWN0aW9uLXBpY2stc3ByZWFkLWZvb3RiYWxsLWdhbWUtb2Rkcy9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
"Nebraska vs. Minnesota game prediction, preview: Who wins, and why?",Sports Illustrated,2023-08-30T21:39:47Z,https://news.google.com/articles/CBMilAFodHRwczovL3d3dy5zaS5jb20vZmFubmF0aW9uL2NvbGxlZ2UvY2ZiLWhxL25jYWEtZm9vdGJhbGwtcGlja3MvbmVicmFza2EtbWlubmVzb3RhLWZvb3RiYWxsLWdhbWUtcHJlZGljdGlvbi1wcmV2aWV3LXdlZWstMS1jb2xsZWdlLWZvb3RiYWxsLXNjaGVkdWxl0gEA?hl=en-US&gl=US&ceid=US%3Aen
Gophers use timely big plays to stun Nebraska 13-10 in Big Ten football opener,Star Tribune,2023-09-01T04:07:44Z,https://news.google.com/articles/CBMie2h0dHBzOi8vd3d3LnN0YXJ0cmlidW5lLmNvbS9taW5uZXNvdGEtZ29waGVycy1uZWJyYXNrYS1jb3JuaHVza2Vycy1kYW5pZWwtamFja3Nvbi1jYXRjaC1kcmFnYW4ta2VzaWNoLWZpZWxkLWdvYWwvNjAwMzAxMzEwL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"With grand slam, Braves' Acuña records MLB's 1st-ever 30-60 season - ESPN",ESPN,2023-09-01T03:07:00Z,https://news.google.com/articles/CBMia2h0dHBzOi8vd3d3LmVzcG4uY29tL21sYi9zdG9yeS9fL2lkLzM4MzAyNzI1L3dpdGgtZ3JhbmQtc2xhbS1icmF2ZXMtYWN1bmEtcmVjb3Jkcy1tbGItMXN0LWV2ZXItMzAtNjAtc2Vhc29u0gF4aHR0cHM6Ly93d3cuZXNwbi5jb20vbWxiL3N0b3J5L18vaWQvMzgzMDI3MjUvd2l0aC1ncmFuZC1zbGFtLWJyYXZlcy1hY3VuYS1yZWNvcmRzLW1sYi0xc3QtZXZlci0zMC02MC1zZWFzb24_cGxhdGZvcm09YW1w?hl=en-US&gl=US&ceid=US%3Aen
BREAKING: Ronald Acuña Jr gets married to longtime girlfriend Maria Laborde,Sports Illustrated,2023-09-01T00:17:14Z,https://news.google.com/articles/CBMicmh0dHBzOi8vd3d3LnNpLmNvbS9tbGIvYnJhdmVzL25ld3MvYnJlYWtpbmctcm9uYWxkLWFjdSVDMyVCMWEtanItZ2V0cy1tYXJyaWVkLXRvLWxvbmd0aW1lLWdpcmxmcmllbmQtbWFyaWEtbGFib3JkZdIBAA?hl=en-US&gl=US&ceid=US%3Aen
Ronald Acuña Jr. first player with 30 homers 60 steals,MLB.com,2023-09-01T02:54:09Z,https://news.google.com/articles/CBMiTmh0dHBzOi8vd3d3Lm1sYi5jb20vbmV3cy9yb25hbGQtYWN1bmEtanItZmlyc3QtcGxheWVyLXdpdGgtMzAtaG9tZXJzLTYwLXN0ZWFsc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Braves' Ronald Acuna Jr. makes history with MLB's first 30-60 season,USA TODAY,2023-09-01T02:50:12Z,https://news.google.com/articles/CBMie2h0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9zdG9yeS9zcG9ydHMvbWxiL2JyYXZlcy8yMDIzLzA4LzMxL3JvbmFsZC1hY3VuYS1qci1oaXN0b3J5LTMwLTYwLXNlYXNvbi1ob21lcnMtc3RlYWxzLzcwNzEzNTcxMDA3L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Aaron Rodgers says Jihad Ward 'making s*** up' as Jets-Giants feud escalates,Yahoo Sports,2023-08-31T23:34:37Z,https://news.google.com/articles/CBMib2h0dHBzOi8vc3BvcnRzLnlhaG9vLmNvbS9hYXJvbi1yb2RnZXJzLXNheXMtamloYWQtd2FyZC1tYWtpbmctcy11cC1hcy1qZXRzLWdpYW50cy1mZXVkLWVzY2FsYXRlcy0yMzM0MzcxMzAuaHRtbNIBd2h0dHBzOi8vc3BvcnRzLnlhaG9vLmNvbS9hbXBodG1sL2Fhcm9uLXJvZGdlcnMtc2F5cy1qaWhhZC13YXJkLW1ha2luZy1zLXVwLWFzLWpldHMtZ2lhbnRzLWZldWQtZXNjYWxhdGVzLTIzMzQzNzEzMC5odG1s?hl=en-US&gl=US&ceid=US%3Aen
