Title,Publisher,DateTime,Link
What Happens if Mitch McConnell Retires Before His Senate Term Ends?,The New York Times,2023-08-31T18:56:42Z,https://news.google.com/articles/CBMiUmh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjMvMDgvMzEvdXMvcG9saXRpY3MvbWNjb25uZWxsLWZyZWV6ZS1yZXNpZ24tc2VuYXRlLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Senate Minority Leader Mitch McConnell appears to freeze in front of reporters,ABC11,2023-09-01T02:03:36Z,https://news.google.com/articles/CCAiC2VNLVN5RVQ2Uk1FmAEB?hl=en-US&gl=US&ceid=US%3Aen
Republicans forced to contemplate a Senate without Mitch McConnell,The Independent,2023-08-31T20:31:42Z,https://news.google.com/articles/CBMiX2h0dHBzOi8vd3d3LmluZGVwZW5kZW50LmNvLnVrL3ZvaWNlcy9yZXB1YmxpY2Fucy13YXNoaW5ndG9uLWFmdGVyLW1pdGNoLW1jY29ubmVsbC1iMjQwMjg1My5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Proud Boys leader Joe Biggs sentenced to 17 years for Capitol riot,BBC,2023-08-31T20:37:48Z,https://news.google.com/articles/CBMiJGh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy91ay02NjY3NjU4MdIBKGh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy91ay02NjY3NjU4MS5hbXA?hl=en-US&gl=US&ceid=US%3Aen
Proud Boys leader Joe Biggs sentenced to 17 years in January 6 case,CNN,2023-08-31T17:31:00Z,https://news.google.com/articles/CBMiTmh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8wOC8zMS9wb2xpdGljcy9wcm91ZC1ib3lzLWJpZ2dzLXNlbnRlbmNpbmcvaW5kZXguaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
BREAKING: Proud Boy Joe Biggs sentenced to 17 years in prison in Jan. 6 case,MSNBC,2023-08-31T17:30:04Z,https://news.google.com/articles/CCAiC2NrazRZZEVlR3VnmAEB?hl=en-US&gl=US&ceid=US%3Aen
Proud Boys Lieutenant Sentenced to 17 Years in Jan. 6 Sedition Case,The New York Times,2023-08-31T16:50:23Z,https://news.google.com/articles/CBMiW2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjMvMDgvMzEvdXMvcG9saXRpY3MvcHJvdWQtYm95cy1qb3NlcGgtYmlnZ3Mtc2VudGVuY2VkLWphbi02Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Clarence Thomas discloses flights provided by Dallas mogul Harlan Crow,The Dallas Morning News,2023-08-31T23:26:15Z,https://news.google.com/articles/CBMiggFodHRwczovL3d3dy5kYWxsYXNuZXdzLmNvbS9uZXdzLzIwMjMvMDgvMzEvY2xhcmVuY2UtdGhvbWFzLW1ha2VzLWZpcnN0LWRpc2Nsb3N1cmUtb2YtdHJpcHMtZnJvbS1jcm93LXBsdXMtMjAxNC1zYWxlLW9mLW1vbXMtaG91c2Uv0gGRAWh0dHBzOi8vd3d3LmRhbGxhc25ld3MuY29tL25ld3MvMjAyMy8wOC8zMS9jbGFyZW5jZS10aG9tYXMtbWFrZXMtZmlyc3QtZGlzY2xvc3VyZS1vZi10cmlwcy1mcm9tLWNyb3ctcGx1cy0yMDE0LXNhbGUtb2YtbW9tcy1ob3VzZS8_b3V0cHV0VHlwZT1hbXA?hl=en-US&gl=US&ceid=US%3Aen
Clarence Thomas officially discloses private trips on GOP donor Harlan Crow's plane,CNN,2023-08-31T16:48:00Z,https://news.google.com/articles/CBMiWWh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8wOC8zMS9wb2xpdGljcy90aG9tYXMtYWxpdG8tc3VwcmVtZS1jb3VydC1kaXNjbG9zdXJlcy9pbmRleC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Clarence Thomas reveals the free travel he's received as questions emerge about latest Biden vacation,New York Post ,2023-08-31T17:33:00Z,https://news.google.com/articles/CBMicmh0dHBzOi8vbnlwb3N0LmNvbS8yMDIzLzA4LzMxL2NsYXJlbmNlLXRob21hcy1yZXZlYWxzLWZyZWUtdHJhdmVsLWFzLXF1ZXN0aW9ucy1yYWlzZWQtYWJvdXQtbGF0ZXN0LWJpZGVuLXZhY2F0aW9uL9IBdmh0dHBzOi8vbnlwb3N0LmNvbS8yMDIzLzA4LzMxL2NsYXJlbmNlLXRob21hcy1yZXZlYWxzLWZyZWUtdHJhdmVsLWFzLXF1ZXN0aW9ucy1yYWlzZWQtYWJvdXQtbGF0ZXN0LWJpZGVuLXZhY2F0aW9uL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
