Title,Publisher,DateTime,Link
Genomic inference of a severe human bottleneck during the Early to Middle Pleistocene transition,Science,2023-08-31T18:27:12Z,https://news.google.com/articles/CBMiM2h0dHBzOi8vd3d3LnNjaWVuY2Uub3JnL2RvaS8xMC4xMTI2L3NjaWVuY2UuYWJxNzQ4N9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Human ancestors nearly went extinct 900,000 years ago",Nature.com,2023-08-31T18:11:06Z,https://news.google.com/articles/CBMiMmh0dHBzOi8vd3d3Lm5hdHVyZS5jb20vYXJ0aWNsZXMvZDQxNTg2LTAyMy0wMjcxMi000gEA?hl=en-US&gl=US&ceid=US%3Aen
"Only 1,280 Breeding Humans Once Roamed Earth, Gene Study Shows",Gizmodo,2023-08-31T18:05:00Z,https://news.google.com/articles/CBMiPGh0dHBzOi8vZ2l6bW9kby5jb20vZ2VuZXRpYy1wb3B1bGF0aW9uLWJvdHRsZW5lY2stMTg1MDc5MjQxMdIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Our Human Ancestors Very Nearly Went Extinct 900000 Years Ago, Genetics Suggest",Smithsonian Magazine,2023-08-31T18:00:00Z,https://news.google.com/articles/CBMihwFodHRwczovL3d3dy5zbWl0aHNvbmlhbm1hZy5jb20vc2NpZW5jZS1uYXR1cmUvZ2VuZXRpY3Mtc3VnZ2VzdC1vdXItaHVtYW4tYW5jZXN0b3JzLXZlcnktbmVhcmx5LXdlbnQtZXh0aW5jdC05MDAwMDAteWVhcnMtYWdvLTE4MDk4MjgzMC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
16 Photos Of The Blue Supermoon From Around The World,BuzzFeed,2023-08-31T17:27:40Z,https://news.google.com/articles/CBMiUGh0dHBzOi8vd3d3LmJ1enpmZWVkLmNvbS9qb3NlcGhsb25nby9ibHVlLXN1cGVybW9vbi1waG90b3MtZnJvbS1hcm91bmQtdGhlLXdvcmxk0gEA?hl=en-US&gl=US&ceid=US%3Aen
Last Super Blue Moon until 2037 lights up skies around the world (photos),Space.com,2023-08-31T15:55:33Z,https://news.google.com/articles/CBMiNmh0dHBzOi8vd3d3LnNwYWNlLmNvbS9yYXJlLXN1cGVyLWJsdWUtbW9vbi0yMDIzLXBob3Rvc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Photos: 10 stunning images of the Blue Supermoon – WHIO TV 7 and WHIO Radio,WHIO,2023-08-31T13:02:56Z,https://news.google.com/articles/CBMiUWh0dHBzOi8vd3d3LndoaW8uY29tL25ld3MvdHJlbmRpbmcvcGhvdG9zLTEwLXN0dW5uaW5nL0NBN040S1A0Rk5DWkRBT0JOSElaS0VRRk5FL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
When is the blue supermoon tonight?,FOX61 Hartford,2023-08-30T17:49:00Z,https://news.google.com/articles/CBMic2h0dHBzOi8vd3d3LmZveDYxLmNvbS9hcnRpY2xlL25ld3MvbmF0aW9uLXdvcmxkL3doZW4taXMtdGhlLWJsdWUtc3VwZXJtb29uLzUwNy01M2Y2NWNjZS1iOGNkLTRiOTEtYjQxZi1lMjliZTdmY2ZiY2TSAXdodHRwczovL3d3dy5mb3g2MS5jb20vYW1wL2FydGljbGUvbmV3cy9uYXRpb24td29ybGQvd2hlbi1pcy10aGUtYmx1ZS1zdXBlcm1vb24vNTA3LTUzZjY1Y2NlLWI4Y2QtNGI5MS1iNDFmLWUyOWJlN2ZjZmJjZA?hl=en-US&gl=US&ceid=US%3Aen
SpaceX launches 22 Starlink satellites toward orbit,Space.com,2023-09-01T02:49:56Z,https://news.google.com/articles/CBMiN2h0dHBzOi8vd3d3LnNwYWNlLmNvbS9zcGFjZXgtc3RhcmxpbmstbGF1bmNoLWdyb3VwLTYtMTPSAQA?hl=en-US&gl=US&ceid=US%3Aen
Updates: SpaceX Falcon 9 boosted more Starlink satellites Thursday,Florida Today,2023-09-01T02:37:30Z,https://news.google.com/articles/CBMipAFodHRwczovL3d3dy5mbG9yaWRhdG9kYXkuY29tL3N0b3J5L3RlY2gvc2NpZW5jZS9zcGFjZS8yMDIzLzA4LzMxL3NwYWNleC1mYWxjb24tOS1yb2NrZXQtc3RhcmxpbmstbGF1bmNoLXVwZGF0ZXMtZnJvbS1jYXBlLWNhbmF2ZXJhbC1zcGFjZS1mb3JjZS1mbG9yaWRhLzcwNjk1OTY5MDA3L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"SpaceX notches 60th launch of the year with Starlink mission, one shy of tying record – Spaceflight Now",Spaceflight Now,2023-08-31T23:37:30Z,https://news.google.com/articles/CBMieGh0dHBzOi8vc3BhY2VmbGlnaHRub3cuY29tLzIwMjMvMDgvMzEvc3BhY2V4LWV5ZXMtNjB0aC1sYXVuY2gtb2YtdGhlLXllYXItd2l0aC1zdGFybGluay1taXNzaW9uLW9uZS1zaHktb2YtdHlpbmctcmVjb3JkL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
SpaceX delays launch of 13 satellites for US Space Force to Sept. 1. Here's how to watch live.,Space.com,2023-08-31T15:01:18Z,https://news.google.com/articles/CBMiSGh0dHBzOi8vd3d3LnNwYWNlLmNvbS9zcGFjZXgtbGF1bmNoLXNwYWNlLWZvcmNlLXNlY29uZC10cmFuY2hlLTAtbWlzc2lvbtIBAA?hl=en-US&gl=US&ceid=US%3Aen
Webb Telescope Spots Eye-Shaped Supernova With a Messy Filling,Gizmodo,2023-08-31T19:40:00Z,https://news.google.com/articles/CBMiTWh0dHBzOi8vZ2l6bW9kby5jb20vd2ViYi10ZWxlc2NvcGUtZXllLXNoYXBlZC1zdXBlcm5vdmEtZHVzdHktY29yZS0xODUwNzkzMzQy0gEA?hl=en-US&gl=US&ceid=US%3Aen
James Webb Space Telescope snaps stunning view of supernova's expanding remains (photos),Space.com,2023-08-31T18:30:01Z,https://news.google.com/articles/CBMiTGh0dHBzOi8vd3d3LnNwYWNlLmNvbS9qYW1lcy13ZWJiLXNwYWNlLXRlbGVzY29wZS1zdXBlcm5vdmEtZXhwYW5kaW5nLXJlbWFpbnPSAQA?hl=en-US&gl=US&ceid=US%3Aen
James Webb: Telescope reveals new detail in famous supernova,BBC,2023-08-31T14:02:55Z,https://news.google.com/articles/CBMiNWh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9zY2llbmNlLWVudmlyb25tZW50LTY2NjcwNzA10gE5aHR0cHM6Ly93d3cuYmJjLmNvbS9uZXdzL3NjaWVuY2UtZW52aXJvbm1lbnQtNjY2NzA3MDUuYW1w?hl=en-US&gl=US&ceid=US%3Aen
Webb Reveals New Structures Within Iconic Supernova,NASA,2023-08-31T09:20:48Z,https://news.google.com/articles/CBMiXWh0dHBzOi8vd3d3Lm5hc2EuZ292L2ZlYXR1cmUvZ29kZGFyZC8yMDIzL3dlYmItcmV2ZWFscy1uZXctc3RydWN0dXJlcy13aXRoaW4taWNvbmljLXN1cGVybm92YdIBAA?hl=en-US&gl=US&ceid=US%3Aen
Moonquake? ISRO investigating 'natural event' recorded by Vikram lander,The Tribune India,2023-08-31T18:23:00Z,https://news.google.com/articles/CBMic2h0dHBzOi8vd3d3LnRyaWJ1bmVpbmRpYS5jb20vbmV3cy9pbmRpYS9tb29ucXVha2UtaXNyby1pbnZlc3RpZ2F0aW5nLW5hdHVyYWwtZXZlbnQtcmVjb3JkZWQtYnktdmlrcmFtLWxhbmRlci01NDAwOTfSAQA?hl=en-US&gl=US&ceid=US%3Aen
India's Lunar Rover Detects Sulfur at Moon's South Pole,ExtremeTech,2023-08-31T17:52:57Z,https://news.google.com/articles/CBMiWWh0dHBzOi8vd3d3LmV4dHJlbWV0ZWNoLmNvbS9zY2llbmNlL2luZGlhcy1sdW5hci1yb3Zlci1kZXRlY3RzLXN1bGZ1ci1hdC1tb29ucy1zb3V0aC1wb2xl0gEA?hl=en-US&gl=US&ceid=US%3Aen
"India's moon rover finds sulfur, other elements in search for water near lunar south pole",CBS News,2023-08-31T14:47:00Z,https://news.google.com/articles/CBMiVWh0dHBzOi8vd3d3LmNic25ld3MuY29tL25ld3MvaW5kaWEtbW9vbi1yb3Zlci1zdWxmdXItaHVudC1mb3Itd2F0ZXItbHVuYXItc291dGgtcG9sZS_SAVlodHRwczovL3d3dy5jYnNuZXdzLmNvbS9hbXAvbmV3cy9pbmRpYS1tb29uLXJvdmVyLXN1bGZ1ci1odW50LWZvci13YXRlci1sdW5hci1zb3V0aC1wb2xlLw?hl=en-US&gl=US&ceid=US%3Aen
Moon Rover Makes Amazing Discovery While Hunting For Water,Giant Freakin Robot,2023-09-01T03:01:52Z,https://news.google.com/articles/CBMiO2h0dHBzOi8vd3d3LmdpYW50ZnJlYWtpbnJvYm90LmNvbS9zY2kvbW9vbi1yb3Zlci13YXRlci5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
NASA gears up for return of OSIRIS-REx asteroid sample,SpaceNews,2023-08-31T11:31:26Z,https://news.google.com/articles/CBMiTWh0dHBzOi8vc3BhY2VuZXdzLmNvbS9uYXNhLWdlYXJzLXVwLWZvci1yZXR1cm4tb2Ytb3NpcmlzLXJleC1hc3Rlcm9pZC1zYW1wbGUv0gEA?hl=en-US&gl=US&ceid=US%3Aen
NASA's OSIRIS-REx spacecraft is returning with its first-ever asteroid sample,The Register,2023-09-01T01:57:00Z,https://news.google.com/articles/CBMiT2h0dHBzOi8vd3d3LnRoZXJlZ2lzdGVyLmNvbS8yMDIzLzA5LzAxL25hc2FzX29zaXJpc3JleF9zcGFjZWNyYWZ0X2lzX3JldHVybmluZy_SAVNodHRwczovL3d3dy50aGVyZWdpc3Rlci5jb20vQU1QLzIwMjMvMDkvMDEvbmFzYXNfb3NpcmlzcmV4X3NwYWNlY3JhZnRfaXNfcmV0dXJuaW5nLw?hl=en-US&gl=US&ceid=US%3Aen
Tucson team prepares for arrival of OSIRIS-REx mission sample,News 4 Tucson KVOA-TV,2023-08-31T20:48:27Z,https://news.google.com/articles/CCAiC3RWWjRuUjRUVDhzmAEB?hl=en-US&gl=US&ceid=US%3Aen
"OSIRIS-REx is bringing an asteroid sample back to Earth this month, worrying many people",Earth.com,2023-08-31T22:38:53Z,https://news.google.com/articles/CBMic2h0dHBzOi8vd3d3LmVhcnRoLmNvbS9uZXdzL29zaXJpcy1yZXgtaXMtYnJpbmdpbmctYW4tYXN0ZXJvaWQtc2FtcGxlLWJhY2stdG8tZWFydGgtdGhpcy1tb250aC13b3JyeWluZy1tYW55LXBlb3BsZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Aditya-L1 Mission: “Countdown for launch day to start on Sept 1” says ISRO Chief S Somanath,ANI News,2023-08-31T16:33:01Z,https://news.google.com/articles/CCAiC0ljaS1zVTdXVnVnmAEB?hl=en-US&gl=US&ceid=US%3Aen
Factbox: After Chandrayaan-3: India's upcoming and past space missions,Reuters India,2023-08-31T09:26:53Z,https://news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL2luZGlhL2FmdGVyLWNoYW5kcmF5YWFuLTMtaW5kaWFzLXVwY29taW5nLXBhc3Qtc3BhY2UtbWlzc2lvbnMtMjAyMy0wOC0zMS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
ESA - How is ESA supporting ISRO's Aditya-L1 solar mission?,European Space Agency,2023-08-31T14:32:02Z,https://news.google.com/articles/CBMiZGh0dHBzOi8vd3d3LmVzYS5pbnQvRW5hYmxpbmdfU3VwcG9ydC9PcGVyYXRpb25zL0hvd19pc19FU0Ffc3VwcG9ydGluZ19JU1JPX3NfQWRpdHlhLUwxX3NvbGFyX21pc3Npb27SAQA?hl=en-US&gl=US&ceid=US%3Aen
India to Top Landing at Moon's South Pole with Aditya-L1 Mission to Study Sun,Bloomberg,2023-08-31T21:00:00Z,https://news.google.com/articles/CBMigAFodHRwczovL3d3dy5ibG9vbWJlcmcuY29tL25ld3MvYXJ0aWNsZXMvMjAyMy0wOC0zMS9pbmRpYS10by10b3AtbGFuZGluZy1hdC1tb29uLXMtc291dGgtcG9sZS13aXRoLWFkaXR5YS1sMS1taXNzaW9uLXRvLXN0dWR5LXN1btIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Expedition 69 NASA’s SpaceX Crew-6 Space Station Farewell Remarks - Aug. 31, 2023",NASA Video,2023-08-31T18:13:38Z,https://news.google.com/articles/CCAiCzVvdVJfNHlnMDNrmAEB?hl=en-US&gl=US&ceid=US%3Aen
How to watch the Crew-6 astronauts return to Earth this weekend,Digital Trends,2023-08-31T21:20:49Z,https://news.google.com/articles/CBMiQmh0dHBzOi8vd3d3LmRpZ2l0YWx0cmVuZHMuY29tL3NwYWNlL25hc2EtY3Jldy02LXJldHVybi1saXZlc3RyZWFtL9IBRmh0dHBzOi8vd3d3LmRpZ2l0YWx0cmVuZHMuY29tL3NwYWNlL25hc2EtY3Jldy02LXJldHVybi1saXZlc3RyZWFtLz9hbXA?hl=en-US&gl=US&ceid=US%3Aen
NASA’s SpaceX Crew-6 say farewell to the International Space Station ahead of return,Sky News,2023-08-31T17:41:24Z,https://news.google.com/articles/CCAiC3hFUDN5VlczZENrmAEB?hl=en-US&gl=US&ceid=US%3Aen
Crew Handovers Continue as Four Members Near End of Six-Month Research Mission,NASA Blogs,2023-08-31T18:27:13Z,https://news.google.com/articles/CBMifmh0dHBzOi8vYmxvZ3MubmFzYS5nb3Yvc3BhY2VzdGF0aW9uLzIwMjMvMDgvMzEvY3Jldy1oYW5kb3ZlcnMtY29udGludWUtYXMtZm91ci1tZW1iZXJzLW5lYXItZW5kLW9mLXNpeC1tb250aC1yZXNlYXJjaC1taXNzaW9uL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
One of the longest dino tracks in the world revealed by drought in Texas state park,Livescience.com,2023-08-31T20:28:23Z,https://news.google.com/articles/CBMigQFodHRwczovL3d3dy5saXZlc2NpZW5jZS5jb20vYW5pbWFscy9kaW5vc2F1cnMvb25lLW9mLXRoZS1sb25nZXN0LWRpbm8tdHJhY2tzLWluLXRoZS13b3JsZC1yZXZlYWxlZC1ieS1kcm91Z2h0LWluLXRleGFzLXN0YXRlLXBhcmvSAQA?hl=en-US&gl=US&ceid=US%3Aen
Large dinosaur tracks unearthed in dried-up Texas river,WFAA,2023-08-31T03:44:21Z,https://news.google.com/articles/CCAiC1N5X2VPczdxclNvmAEB?hl=en-US&gl=US&ceid=US%3Aen
Drought Reveals 113-Million-Year-Old Dinosaur Tracks in Texas,Smithsonian Magazine,2023-08-31T20:48:11Z,https://news.google.com/articles/CBMicmh0dHBzOi8vd3d3LnNtaXRoc29uaWFubWFnLmNvbS9zbWFydC1uZXdzL2Ryb3VnaHQtcmV2ZWFscy0xMTMtbWlsbGlvbi15ZWFyLW9sZC1kaW5vc2F1ci10cmFja3MtaW4tdGV4YXMtMTgwOTgyODI5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Drought exposes 113-million-year-old dinosaur tracks at Texas state park,KSAT San Antonio,2023-08-30T13:51:27Z,https://news.google.com/articles/CBMidGh0dHBzOi8vd3d3LmtzYXQuY29tL25ld3MvbG9jYWwvMjAyMy8wOC8zMC9kcm91Z2h0LWV4cG9zZXMtMTEzLW1pbGxpb24teWVhci1vbGQtZGlub3NhdXItdHJhY2tzLWF0LXRleGFzLXN0YXRlLXBhcmsv0gEA?hl=en-US&gl=US&ceid=US%3Aen
AI predicts chemicals' smells from their structures,Nature.com,2023-08-31T18:21:07Z,https://news.google.com/articles/CBMiMmh0dHBzOi8vd3d3Lm5hdHVyZS5jb20vYXJ0aWNsZXMvZDQxNTg2LTAyMy0wMjcxNC0y0gEA?hl=en-US&gl=US&ceid=US%3Aen
A principal odor map unifies diverse tasks in olfactory perception,Science,2023-08-31T18:27:41Z,https://news.google.com/articles/CBMiM2h0dHBzOi8vd3d3LnNjaWVuY2Uub3JnL2RvaS8xMC4xMTI2L3NjaWVuY2UuYWRlNDQwMdIBAA?hl=en-US&gl=US&ceid=US%3Aen
A Google Startup Made an AI That Describes Smells Better Than Humans,The Daily Beast,2023-08-31T21:36:12Z,https://news.google.com/articles/CBMiYmh0dHBzOi8vd3d3LnRoZWRhaWx5YmVhc3QuY29tL2EtZ29vZ2xlLXN0YXJ0dXAtbWFkZS1hbi1haS10aGF0LWRlc2NyaWJlcy1zbWVsbHMtYmV0dGVyLXRoYW4taHVtYW5z0gEA?hl=en-US&gl=US&ceid=US%3Aen
AI system does better than humans at identifying odors,New Atlas,2023-08-31T20:03:15Z,https://news.google.com/articles/CBMiRWh0dHBzOi8vbmV3YXRsYXMuY29tL3NjaWVuY2UvYWktYmV0dGVyLXRoYW4taHVtYW5zLWlkZW50aWZ5aW5nLW9kb3JzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
NASA moon orbiter spots crash site of Russia's failed Luna-25 lander (photos),Space.com,2023-08-31T20:36:47Z,https://news.google.com/articles/CBMiP2h0dHBzOi8vd3d3LnNwYWNlLmNvbS9ydXNzaWEtbHVuYS0yNS1tb29uLWNyYXNoLXNpdGUtbHJvLXBob3Rvc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
NASA spots likely crash site of Russia`s Luna-25 failed lunar probe,WION,2023-09-01T04:38:37Z,https://news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3Lndpb25ld3MuY29tL3dvcmxkL25hc2Etc3BvdHMtbGlrZWx5LWNyYXNoLXNpdGUtb2YtcnVzc2lhcy1sdW5hLTI1LWZhaWxlZC1sdW5hci1wcm9iZS02MzEwNzbSAWtodHRwczovL3d3dy53aW9uZXdzLmNvbS93b3JsZC9uYXNhLXNwb3RzLWxpa2VseS1jcmFzaC1zaXRlLW9mLXJ1c3NpYXMtbHVuYS0yNS1mYWlsZWQtbHVuYXItcHJvYmUtNjMxMDc2L2FtcA?hl=en-US&gl=US&ceid=US%3Aen
NASA's LRO Observes Crater Likely from Luna 25 Impact,NASA,2023-08-31T17:42:38Z,https://news.google.com/articles/CBMiPGh0dHBzOi8vd3d3Lm5hc2EuZ292L2ZlYXR1cmUvZ29kZGFyZC8yMDIzL2xyby1sdW5hLTI1LWltcGFjdNIBAA?hl=en-US&gl=US&ceid=US%3Aen
NASA orbiter finds crash site of Russia's Luna 25 Moon lander,New Atlas,2023-09-01T01:11:36Z,https://news.google.com/articles/CBMiPGh0dHBzOi8vbmV3YXRsYXMuY29tL3NwYWNlL25hc2Etb3JiaXRlci1maW5kcy1jcmFzaC1sdW5hLTI1L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
NASA Officials Sound Alarm Over Future of the Deep Space Network - Slashdot,Slashdot,2023-08-31T13:05:22Z,https://news.google.com/articles/CBMidGh0dHBzOi8vc2NpZW5jZS5zbGFzaGRvdC5vcmcvc3RvcnkvMjMvMDgvMzEvMDU0MzIzOS9uYXNhLW9mZmljaWFscy1zb3VuZC1hbGFybS1vdmVyLWZ1dHVyZS1vZi10aGUtZGVlcC1zcGFjZS1uZXR3b3Jr0gEA?hl=en-US&gl=US&ceid=US%3Aen
NASA Deep Space Network reaches “critical point” as demand grows,SpaceNews,2023-08-29T23:48:25Z,https://news.google.com/articles/CBMiVWh0dHBzOi8vc3BhY2VuZXdzLmNvbS9uYXNhLWRlZXAtc3BhY2UtbmV0d29yay1yZWFjaGVzLWNyaXRpY2FsLXBvaW50LWFzLWRlbWFuZC1ncm93cy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
NASA officials sound alarm over future of the Deep Space Network,Ars Technica,2023-08-30T18:12:18Z,https://news.google.com/articles/CBMiYmh0dHBzOi8vYXJzdGVjaG5pY2EuY29tL3NwYWNlLzIwMjMvMDgvbmFzYXMtYXJ0ZW1pcy1pLW1pc3Npb24tbmVhcmx5LWJyb2tlLXRoZS1kZWVwLXNwYWNlLW5ldHdvcmsv0gFmaHR0cHM6Ly9hcnN0ZWNobmljYS5jb20vc3BhY2UvMjAyMy8wOC9uYXNhcy1hcnRlbWlzLWktbWlzc2lvbi1uZWFybHktYnJva2UtdGhlLWRlZXAtc3BhY2UtbmV0d29yay9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
A new algorithm finds its first potentially…,The Planetary Society,2023-08-30T15:02:44Z,https://news.google.com/articles/CBMiV2h0dHBzOi8vd3d3LnBsYW5ldGFyeS5vcmcvcGxhbmV0YXJ5LXJhZGlvLzIwMjMtYWxnb3JpdGhtLXBvdGVudGlhbGx5LWhhemFyZG91cy1hc3Rlcm9pZNIBAA?hl=en-US&gl=US&ceid=US%3Aen
